00 : 0.285224	00 : 0.318503	00 : 0.321916	00 : 0.299523	00 : 0.317560	00 : 0.325857	00 : 0.280232	00 : 0.300856	00 : 0.320961	00 : 0.277443	00 : 0.308675	00 : 0.308322	00 : 0.298731	00 : 0.329690	00 : 0.319362	00 : 0.299044	
01 : 0.521137	01 : 0.299721	01 : 0.312035	01 : 0.340800	01 : 0.298182	01 : 0.322166	01 : 0.317518	01 : 0.299127	01 : 0.297739	01 : 0.319788	01 : 0.314343	01 : 0.352879	01 : 0.332805	01 : 0.356170	01 : 0.336831	01 : 0.290889	
02 : 0.304989	02 : 0.448907	02 : 0.346677	02 : 0.310523	02 : 0.302182	02 : 0.328445	02 : 0.333220	02 : 0.294513	02 : 0.293790	02 : 0.316529	02 : 0.295496	02 : 0.326351	02 : 0.302444	02 : 0.318869	02 : 0.281663	02 : 0.303983	
03 : 0.331327	03 : 0.323028	03 : 0.520267	03 : 0.289468	03 : 0.312667	03 : 0.331974	03 : 0.320210	03 : 0.347429	03 : 0.325440	03 : 0.280850	03 : 0.295877	03 : 0.295395	03 : 0.324466	03 : 0.318078	03 : 0.286208	03 : 0.302469	
04 : 0.334255	04 : 0.315683	04 : 0.298029	04 : 0.551591	04 : 0.325117	04 : 0.311204	04 : 0.306677	04 : 0.302863	04 : 0.320372	04 : 0.336309	04 : 0.318324	04 : 0.341687	04 : 0.282925	04 : 0.313032	04 : 0.308961	04 : 0.324712	
05 : 0.295437	05 : 0.276209	05 : 0.298460	05 : 0.322410	05 : 0.508015	05 : 0.335654	05 : 0.287182	05 : 0.292480	05 : 0.322673	05 : 0.293352	05 : 0.332346	05 : 0.307182	05 : 0.306238	05 : 0.320656	05 : 0.339389	05 : 0.319140	
06 : 0.307195	06 : 0.301233	06 : 0.306080	06 : 0.282433	06 : 0.338526	06 : 0.704521	06 : 0.329264	06 : 0.293564	06 : 0.323661	06 : 0.304160	06 : 0.294228	06 : 0.334004	06 : 0.299432	06 : 0.320107	06 : 0.308985	06 : 0.334041	
07 : 0.329047	07 : 0.294502	07 : 0.316706	07 : 0.328472	07 : 0.295504	07 : 0.319363	07 : 0.445823	07 : 0.300111	07 : 0.301172	07 : 0.377206	07 : 0.322637	07 : 0.305188	07 : 0.304193	07 : 0.346770	07 : 0.300606	07 : 0.290724	
08 : 0.306854	08 : 0.314115	08 : 0.308834	08 : 0.315538	08 : 0.304710	08 : 0.284469	08 : 0.277843	08 : 0.423540	08 : 0.328217	08 : 0.302449	08 : 0.294734	08 : 0.336571	08 : 0.320548	08 : 0.309615	08 : 0.348906	08 : 0.333445	
09 : 0.320647	09 : 0.315801	09 : 0.321601	09 : 0.296618	09 : 0.312371	09 : 0.324762	09 : 0.340806	09 : 0.297043	09 : 0.444697	09 : 0.309905	09 : 0.303893	09 : 0.326380	09 : 0.324949	09 : 0.288797	09 : 0.305247	09 : 0.338496	
0A : 0.346390	0A : 0.290406	0A : 0.295842	0A : 0.304717	0A : 0.304465	0A : 0.295530	0A : 0.324808	0A : 0.320070	0A : 0.309933	0A : 0.445908	0A : 0.320061	0A : 0.300568	0A : 0.298556	0A : 0.327339	0A : 0.326296	0A : 0.307810	
0B : 0.339237	0B : 0.312251	0B : 0.295516	0B : 0.288270	0B : 0.291593	0B : 0.290766	0B : 0.316359	0B : 0.313914	0B : 0.318095	0B : 0.304707	0B : 0.661739	0B : 0.357408	0B : 0.353642	0B : 0.289733	0B : 0.314111	0B : 0.299488	
0C : 0.312010	0C : 0.300456	0C : 0.300868	0C : 0.298299	0C : 0.311665	0C : 0.294809	0C : 0.292891	0C : 0.299047	0C : 0.294365	0C : 0.299349	0C : 0.323665	0C : 0.426426	0C : 0.304788	0C : 0.316642	0C : 0.310565	0C : 0.305938	
0D : 0.287717	0D : 0.291825	0D : 0.338990	0D : 0.283086	0D : 0.345656	0D : 0.305722	0D : 0.287247	0D : 0.303275	0D : 0.312851	0D : 0.310740	0D : 0.313351	0D : 0.314950	0D : 0.444317	0D : 0.319217	0D : 0.290172	0D : 0.301424	
0E : 0.298421	0E : 0.313995	0E : 0.299418	0E : 0.285381	0E : 0.334954	0E : 0.300759	0E : 0.308765	0E : 0.330534	0E : 0.323122	0E : 0.304384	0E : 0.335391	0E : 0.330650	0E : 0.313886	0E : 0.430450	0E : 0.396348	0E : 0.296516	
0F : 0.320487	0F : 0.291089	0F : 0.322223	0F : 0.312089	0F : 0.331080	0F : 0.329320	0F : 0.341823	0F : 0.302430	0F : 0.329456	0F : 0.334206	0F : 0.302203	0F : 0.308966	0F : 0.308812	0F : 0.316533	0F : 0.437648	0F : 0.288921	
10 : 0.314336	10 : 0.316517	10 : 0.301068	10 : 0.297808	10 : 0.327016	10 : 0.345678	10 : 0.301730	10 : 0.296024	10 : 0.302516	10 : 0.320773	10 : 0.299053	10 : 0.302696	10 : 0.299159	10 : 0.298131	10 : 0.320780	10 : 0.628977	
11 : 0.309587	11 : 0.319349	11 : 0.305606	11 : 0.295756	11 : 0.340445	11 : 0.312641	11 : 0.311218	11 : 0.347305	11 : 0.307213	11 : 0.294854	11 : 0.307974	11 : 0.302719	11 : 0.312940	11 : 0.320269	11 : 0.323648	11 : 0.334625	
12 : 0.341406	12 : 0.317303	12 : 0.296784	12 : 0.313942	12 : 0.305704	12 : 0.284256	12 : 0.302864	12 : 0.325456	12 : 0.275449	12 : 0.327083	12 : 0.308204	12 : 0.317713	12 : 0.309530	12 : 0.312015	12 : 0.329319	12 : 0.292691	
13 : 0.293320	13 : 0.330718	13 : 0.316317	13 : 0.308285	13 : 0.303289	13 : 0.294590	13 : 0.301355	13 : 0.300575	13 : 0.323266	13 : 0.300246	13 : 0.304654	13 : 0.327010	13 : 0.307405	13 : 0.330609	13 : 0.315714	13 : 0.287556	
14 : 0.325192	14 : 0.326867	14 : 0.296573	14 : 0.318059	14 : 0.282257	14 : 0.305772	14 : 0.318236	14 : 0.309426	14 : 0.308154	14 : 0.303624	14 : 0.308229	14 : 0.304083	14 : 0.305259	14 : 0.303678	14 : 0.319436	14 : 0.307452	
15 : 0.310564	15 : 0.306616	15 : 0.315989	15 : 0.296237	15 : 0.294607	15 : 0.305272	15 : 0.308344	15 : 0.305633	15 : 0.338607	15 : 0.321681	15 : 0.316738	15 : 0.309272	15 : 0.286380	15 : 0.303496	15 : 0.334902	15 : 0.290723	
16 : 0.290134	16 : 0.292263	16 : 0.295810	16 : 0.281665	16 : 0.308661	16 : 0.285197	16 : 0.345089	16 : 0.317687	16 : 0.329993	16 : 0.324409	16 : 0.280964	16 : 0.320594	16 : 0.340040	16 : 0.330247	16 : 0.296441	16 : 0.300885	
17 : 0.306861	17 : 0.321118	17 : 0.296586	17 : 0.323317	17 : 0.305002	17 : 0.315873	17 : 0.365258	17 : 0.298466	17 : 0.307901	17 : 0.357549	17 : 0.297357	17 : 0.322662	17 : 0.317378	17 : 0.310594	17 : 0.300132	17 : 0.334401	
18 : 0.310284	18 : 0.306817	18 : 0.324547	18 : 0.291003	18 : 0.315669	18 : 0.294306	18 : 0.294203	18 : 0.274123	18 : 0.310155	18 : 0.316599	18 : 0.286889	18 : 0.306300	18 : 0.307303	18 : 0.300596	18 : 0.295731	18 : 0.342423	
19 : 0.318673	19 : 0.326284	19 : 0.296694	19 : 0.298810	19 : 0.300176	19 : 0.293499	19 : 0.338364	19 : 0.312043	19 : 0.308588	19 : 0.311586	19 : 0.289407	19 : 0.301028	19 : 0.301976	19 : 0.299831	19 : 0.318033	19 : 0.307929	
1A : 0.315793	1A : 0.289742	1A : 0.324400	1A : 0.308261	1A : 0.316295	1A : 0.312507	1A : 0.313444	1A : 0.365488	1A : 0.290858	1A : 0.327694	1A : 0.296802	1A : 0.306127	1A : 0.297263	1A : 0.306351	1A : 0.304351	1A : 0.315103	
