01 : 0.521137	02 : 0.448907	03 : 0.520267	04 : 0.551591	05 : 0.508015	06 : 0.704521	07 : 0.445823	08 : 0.423540	09 : 0.444697	0A : 0.445908	0B : 0.661739	0C : 0.426426	0D : 0.444317	0E : 0.430450	0F : 0.437648	10 : 0.628977	
6C : 0.400599	F4 : 0.380852	B2 : 0.393687	AF : 0.373278	5C : 0.387632	52 : 0.366003	17 : 0.365258	1A : 0.365488	4E : 0.384889	07 : 0.377206	58 : 0.361254	6F : 0.422964	3C : 0.368108	9C : 0.360678	0E : 0.396348	96 : 0.376267	
2A : 0.362978	7D : 0.373437	FE : 0.371296	C1 : 0.366130	39 : 0.378995	B8 : 0.362108	DD : 0.365145	88 : 0.360891	29 : 0.384421	8E : 0.363818	36 : 0.353900	61 : 0.387495	D2 : 0.360780	E8 : 0.357981	E8 : 0.391313	F7 : 0.372641	
94 : 0.362593	73 : 0.370685	E7 : 0.368100	4C : 0.363095	DC : 0.371864	F3 : 0.361211	36 : 0.360876	F2 : 0.360824	DE : 0.378430	51 : 0.360141	E2 : 0.352414	36 : 0.368855	0B : 0.353642	01 : 0.356170	AB : 0.370210	B5 : 0.369261	
A2 : 0.360821	60 : 0.361709	F6 : 0.363739	C8 : 0.358498	B3 : 0.370971	E1 : 0.357444	D0 : 0.354721	B4 : 0.358538	DB : 0.366370	17 : 0.357549	2B : 0.349865	26 : 0.363613	C8 : 0.347891	9F : 0.354794	A8 : 0.363844	DA : 0.367125	
BB : 0.354559	C2 : 0.359431	28 : 0.363620	8D : 0.354377	BC : 0.356599	93 : 0.352401	EC : 0.350969	C0 : 0.356741	5F : 0.364925	4B : 0.357271	31 : 0.349619	FF : 0.360770	7D : 0.347138	E9 : 0.349963	C9 : 0.360383	1C : 0.364366	
7A : 0.352306	F0 : 0.358669	EF : 0.359365	9C : 0.352487	44 : 0.355460	76 : 0.352048	41 : 0.350429	D5 : 0.355622	C2 : 0.363222	75 : 0.353661	F9 : 0.349139	0B : 0.357408	2F : 0.345649	DC : 0.348044	60 : 0.358389	B3 : 0.357004	
28 : 0.350354	87 : 0.358152	48 : 0.357929	1C : 0.351893	4D : 0.353687	AE : 0.347446	31 : 0.348179	56 : 0.354839	43 : 0.361624	2A : 0.352235	96 : 0.348730	E5 : 0.355729	D4 : 0.345093	07 : 0.346770	A9 : 0.356096	F3 : 0.356660	
65 : 0.347802	7B : 0.353319	8F : 0.357140	E3 : 0.347972	BE : 0.351783	10 : 0.345678	59 : 0.347683	2E : 0.352701	80 : 0.359425	45 : 0.351385	C3 : 0.348474	4B : 0.355110	A0 : 0.344435	1B : 0.346500	3E : 0.355849	31 : 0.354486	
73 : 0.347496	52 : 0.351226	9C : 0.356452	AC : 0.346853	CA : 0.348789	49 : 0.343920	8A : 0.345515	1C : 0.350828	C3 : 0.358421	9D : 0.350935	A0 : 0.348010	DB : 0.353157	1F : 0.344385	9D : 0.346409	7F : 0.355575	5C : 0.352422	
E8 : 0.347424	D2 : 0.351052	53 : 0.352837	4A : 0.346535	5E : 0.347276	86 : 0.342583	16 : 0.345089	72 : 0.350327	47 : 0.355696	A4 : 0.349753	89 : 0.347098	01 : 0.352879	D6 : 0.343243	30 : 0.346208	55 : 0.352742	60 : 0.352198	
0A : 0.346390	80 : 0.350132	C6 : 0.350843	FD : 0.345515	F1 : 0.346388	C9 : 0.341348	C3 : 0.344149	6D : 0.347540	AF : 0.354118	C0 : 0.345688	A5 : 0.346175	20 : 0.351218	DC : 0.342050	31 : 0.346136	6A : 0.350722	52 : 0.351611	
81 : 0.345130	3D : 0.349566	AE : 0.349800	8F : 0.345401	0D : 0.345656	B0 : 0.340193	63 : 0.343457	03 : 0.347429	97 : 0.351586	94 : 0.343299	21 : 0.345285	AF : 0.346027	9A : 0.341573	27 : 0.343016	87 : 0.349385	6E : 0.350066	
27 : 0.345113	71 : 0.349188	3D : 0.349143	D4 : 0.344423	94 : 0.344044	6A : 0.339129	85 : 0.342528	11 : 0.347305	4A : 0.351475	F8 : 0.340947	83 : 0.344967	3C : 0.345189	41 : 0.340904	42 : 0.338957	08 : 0.348906	F6 : 0.348352	
FE : 0.345060	A5 : 0.344947	A1 : 0.347910	81 : 0.343608	1F : 0.342909	DD : 0.338582	5D : 0.341905	44 : 0.346887	FD : 0.349022	AD : 0.340868	99 : 0.341432	53 : 0.343984	16 : 0.340040	A6 : 0.338540	54 : 0.347320	2A : 0.345820	
E9 : 0.344610	90 : 0.344669	02 : 0.346677	70 : 0.342448	11 : 0.340445	C7 : 0.338412	0F : 0.341823	62 : 0.346818	28 : 0.348118	2F : 0.340030	A6 : 0.340761	F5 : 0.343288	68 : 0.339530	D3 : 0.338269	57 : 0.346925	D4 : 0.343667	
C7 : 0.343760	D8 : 0.343201	E3 : 0.343474	98 : 0.342443	A5 : 0.340082	1F : 0.338276	6E : 0.341640	82 : 0.346635	E0 : 0.346159	96 : 0.339112	BA : 0.340651	FB : 0.342273	60 : 0.338467	3F : 0.337980	BF : 0.345668	95 : 0.343620	
72 : 0.341808	36 : 0.342071	38 : 0.343043	01 : 0.340800	FF : 0.340046	33 : 0.337754	09 : 0.340806	5C : 0.345853	89 : 0.344550	E4 : 0.338835	2A : 0.340158	DA : 0.342226	A2 : 0.338072	5D : 0.337947	E5 : 0.344759	BB : 0.343343	
