01			02			03			04			05			06			07			08			09			0A			0B			0C			0D			0E			0F			10			
0.521137	0.448907	0.520267	0.551591	0.508015	0.704521	0.445823	0.423540	0.444697	0.445908	0.661739	0.426426	0.444317	0.430450	0.437648	0.628977	

6C			F4			B2			AF			5C			52			17			1A			4E			07			58			6F			3C			9C			0E			96			
0.400599	0.380852	0.393687	0.373278	0.387632	0.366003	0.365258	0.365488	0.384889	0.377206	0.361254	0.422964	0.368108	0.360678	0.396348	0.376267	

2A			7D			FE			C1			39			B8			DD			88			29			8E			36			61			D2			E8			E8			F7			
0.362978	0.373437	0.371296	0.366130	0.378995	0.362108	0.365145	0.360891	0.384421	0.363818	0.353900	0.387495	0.360780	0.357981	0.391313	0.372641	

94			73			E7			4C			DC			F3			36			F2			DE			51			E2			36			0B			01			AB			B5			
0.362593	0.370685	0.368100	0.363095	0.371864	0.361211	0.360876	0.360824	0.378430	0.360141	0.352414	0.368855	0.353642	0.356170	0.370210	0.369261	

A2			60			F6			C8			B3			E1			D0			B4			DB			17			2B			26			C8			9F			A8			DA			
0.360821	0.361709	0.363739	0.358498	0.370971	0.357444	0.354721	0.358538	0.366370	0.357549	0.349865	0.363613	0.347891	0.354794	0.363844	0.367125	

